	date	sensorName	time	value	worksession
260	08:01:19	hum	11:24:57	40.0	7
261	08:01:19	lum	11:25:05	71.0	7
262	08:01:19	temp	11:25:05	18.0	7
263	08:01:19	hum	11:25:05	40.0	7
264	08:01:19	lum	11:25:13	66.0	7
265	08:01:19	temp	11:25:13	18.0	7
266	08:01:19	hum	11:25:13	40.0	7
267	08:01:19	lum	11:25:21	52.0	7
268	08:01:19	temp	11:25:21	18.0	7
269	08:01:19	hum	11:25:21	40.0	7
270	08:01:19	lum	11:25:29	71.0	7
271	08:01:19	temp	11:25:29	18.0	7
272	08:01:19	hum	11:25:29	40.0	7
273	08:01:19	lum	11:25:37	63.0	7
274	08:01:19	temp	11:25:37	18.0	7
275	08:01:19	hum	11:25:37	40.0	7
276	08:01:19	lum	11:25:45	65.0	7
277	08:01:19	temp	11:25:45	18.0	7
278	08:01:19	hum	11:25:45	40.0	7
279	08:01:19	lum	11:25:53	72.0	7
280	08:01:19	temp	11:25:53	18.0	7
281	08:01:19	hum	11:25:53	40.0	7
282	08:01:19	lum	11:26:01	74.0	7
283	08:01:19	temp	11:26:01	18.0	7
284	08:01:19	hum	11:26:01	40.0	7
285	08:01:19	lum	11:26:09	74.0	7
286	08:01:19	temp	11:26:09	18.0	7
287	08:01:19	hum	11:26:09	40.0	7
288	08:01:19	lum	11:26:17	78.0	7
289	08:01:19	temp	11:26:17	18.0	7
290	08:01:19	hum	11:26:17	40.0	7
291	08:01:19	lum	11:27:05	74.0	7
292	08:01:19	temp	11:27:05	18.0	7
293	08:01:19	hum	11:27:05	41.0	7
294	08:01:19	lum	11:27:13	36.0	7
295	08:01:19	temp	11:27:13	18.0	7
296	08:01:19	hum	11:27:13	40.0	7
297	08:01:19	lum	11:27:21	85.0	7
298	08:01:19	temp	11:27:21	18.0	7
299	08:01:19	hum	11:27:21	41.0	7
300	08:01:19	lum	11:27:29	78.0	7
301	08:01:19	temp	11:27:29	18.0	7
302	08:01:19	hum	11:27:29	41.0	7
303	08:01:19	lum	11:27:37	73.0	7
304	08:01:19	temp	11:27:37	18.0	7
305	08:01:19	hum	11:27:37	41.0	7
306	08:01:19	lum	11:27:45	41.0	7
307	08:01:19	temp	11:27:45	18.0	7
308	08:01:19	hum	11:27:45	41.0	7
309	08:01:19	lum	11:27:53	37.0	7
310	08:01:19	temp	11:27:53	18.0	7
311	08:01:19	hum	11:27:53	40.0	7
312	08:01:19	lum	11:28:01	59.0	7
313	08:01:19	temp	11:28:01	18.0	7
314	08:01:19	hum	11:28:01	40.0	7
315	08:01:19	lum	11:28:09	38.0	7
316	08:01:19	temp	11:28:09	18.0	7
317	08:01:19	hum	11:28:09	40.0	7
318	08:01:19	lum	11:28:17	57.0	7
319	08:01:19	temp	11:28:17	18.0	7
320	08:01:19	hum	11:28:17	40.0	7
321	08:01:19	lum	11:28:25	44.0	7
322	08:01:19	temp	11:28:25	18.0	7
323	08:01:19	hum	11:28:25	40.0	7
324	08:01:19	lum	11:28:33	45.0	7
325	08:01:19	temp	11:28:33	18.0	7
326	08:01:19	hum	11:28:33	40.0	7
327	08:01:19	lum	11:28:41	47.0	7
328	08:01:19	temp	11:28:41	18.0	7
329	08:01:19	hum	11:28:41	41.0	7
330	08:01:19	lum	11:28:49	47.0	7
331	08:01:19	temp	11:28:49	18.0	7
332	08:01:19	hum	11:28:49	40.0	7
333	08:01:19	lum	11:28:57	45.0	7
334	08:01:19	temp	11:28:57	18.0	7
335	08:01:19	hum	11:28:57	40.0	7
336	08:01:19	lum	11:29:05	47.0	7
337	08:01:19	temp	11:29:05	18.0	7
338	08:01:19	hum	11:29:05	40.0	7
339	08:01:19	lum	11:29:13	84.0	7
340	08:01:19	temp	11:29:13	18.0	7
341	08:01:19	hum	11:29:13	40.0	7
342	08:01:19	lum	11:29:21	83.0	7
343	08:01:19	temp	11:29:21	18.0	7
344	08:01:19	hum	11:29:21	40.0	7
345	08:01:19	lum	11:29:29	60.0	7
346	08:01:19	temp	11:29:29	18.0	7
347	08:01:19	hum	11:29:29	41.0	7
348	08:01:19	lum	11:29:37	60.0	7
349	08:01:19	temp	11:29:37	18.0	7
350	08:01:19	hum	11:29:37	41.0	7
351	08:01:19	lum	11:29:45	82.0	7
352	08:01:19	temp	11:29:45	18.0	7
353	08:01:19	hum	11:29:45	41.0	7
354	08:01:19	lum	11:29:53	48.0	7
355	08:01:19	temp	11:29:53	18.0	7
356	08:01:19	hum	11:29:53	41.0	7
357	08:01:19	lum	11:30:01	39.0	7
358	08:01:19	temp	11:30:01	18.0	7
359	08:01:19	hum	11:30:01	41.0	7
360	08:01:19	lum	10:15:45	105.0	7
361	08:01:19	temp	10:15:45	19.0	7
362	08:01:19	hum	10:15:45	41.0	7
363	08:01:19	lum	10:15:53	85.0	7
364	08:01:19	temp	10:15:53	19.0	7
365	08:01:19	hum	10:15:53	41.0	7
366	08:01:19	lum	10:16:01	93.0	7
367	08:01:19	temp	10:16:01	19.0	7
368	08:01:19	hum	10:16:01	41.0	7
369	08:01:19	lum	10:16:09	85.0	7
370	08:01:19	temp	10:16:09	19.0	7
371	08:01:19	hum	10:16:09	41.0	7
372	08:01:19	lum	10:16:17	96.0	7
373	08:01:19	temp	10:16:17	19.0	7
374	08:01:19	hum	10:16:17	42.0	7
375	08:01:19	lum	10:16:25	126.0	7
376	08:01:19	temp	10:16:25	19.0	7
377	08:01:19	hum	10:16:25	42.0	7
378	08:01:19	lum	10:16:33	98.0	7
379	08:01:19	temp	10:16:33	19.0	7
380	08:01:19	hum	10:16:33	41.0	7
381	08:01:19	lum	10:16:41	151.0	7
382	08:01:19	temp	10:16:41	19.0	7
383	08:01:19	hum	10:16:41	41.0	7
384	08:01:19	lum	10:16:49	138.0	7
385	08:01:19	temp	10:16:49	19.0	7
386	08:01:19	hum	10:16:49	41.0	7
387	08:01:19	lum	10:16:57	144.0	7
388	08:01:19	temp	10:16:57	19.0	7
389	08:01:19	hum	10:16:57	41.0	7
390	08:01:19	lum	10:17:05	144.0	7
391	08:01:19	temp	10:17:05	19.0	7
392	08:01:19	hum	10:17:05	41.0	7
393	08:01:19	lum	10:17:13	124.0	7
394	08:01:19	temp	10:17:13	19.0	7
395	08:01:19	hum	10:17:13	40.0	7
396	08:01:19	lum	10:17:21	137.0	7
397	08:01:19	temp	10:17:21	19.0	7
398	08:01:19	hum	10:17:21	40.0	7
399	08:01:19	lum	10:17:29	140.0	7
400	08:01:19	temp	10:17:29	19.0	7
401	08:01:19	hum	10:17:29	40.0	7
402	08:01:19	lum	11:02:59	123.0	7
403	08:01:19	temp	11:02:59	21.0	7
404	08:01:19	hum	11:02:59	40.0	7
405	08:01:19	lum	11:03:07	109.0	7
406	08:01:19	temp	11:03:07	21.0	7
407	08:01:19	hum	11:03:07	40.0	7
408	08:01:19	lum	11:03:15	131.0	7
409	08:01:19	temp	11:03:15	21.0	7
410	08:01:19	hum	11:03:15	40.0	7
411	08:01:19	lum	11:03:23	128.0	7
412	08:01:19	temp	11:03:23	21.0	7
413	08:01:19	hum	11:03:23	40.0	7
414	08:01:19	lum	11:03:31	124.0	7
415	08:01:19	temp	11:03:31	21.0	7
